run,type,slice,n,cos,nmse
uniform_motion_s3072_af_fr_cal_a000,步长,h=16,100,0.6864,0.6664
uniform_motion_s3072_af_fr_cal_a000,步长,h=28,100,0.3142,1.5919
uniform_motion_s3072_af_fr_control_e5,分区,ID,406,0.9375,0.1216
uniform_motion_s3072_af_fr_control_e5,分区,r/m-OOD,464,0.8178,0.4236
uniform_motion_s3072_af_fr_control_e5,分区,v-OOD,841,0.568,0.7515
uniform_motion_s3072_af_fr_control_e5,分区,both-OOD,1189,0.6317,0.7538
uniform_motion_s3072_af_fr_control_e5,步长,h=1,100,0.993,0.014
uniform_motion_s3072_af_fr_control_e5,步长,h=2,100,0.9897,0.0229
uniform_motion_s3072_af_fr_control_e5,步长,h=4,100,0.9777,0.0491
uniform_motion_s3072_af_fr_control_e5,步长,h=8,100,0.9416,0.1318
uniform_motion_s3072_af_fr_control_e5,步长,h=16,100,0.6847,0.657
uniform_motion_s3072_af_fr_control_e5,步长,h=28,100,0.3299,1.5454
uniform_motion_s3072_af_fr_gate_t3,分区,ID,406,0.9405,0.12
uniform_motion_s3072_af_fr_gate_t3,分区,r/m-OOD,464,0.8216,0.4339
uniform_motion_s3072_af_fr_gate_t3,分区,v-OOD,841,0.5538,0.7939
uniform_motion_s3072_af_fr_gate_t3,分区,both-OOD,1189,0.6353,0.7561
uniform_motion_s3072_af_fr_gate_t3,步长,h=1,100,0.9928,0.0144
uniform_motion_s3072_af_fr_gate_t3,步长,h=2,100,0.9893,0.0236
uniform_motion_s3072_af_fr_gate_t3,步长,h=4,100,0.9775,0.0496
uniform_motion_s3072_af_fr_gate_t3,步长,h=8,100,0.942,0.1319
uniform_motion_s3072_af_fr_gate_t3,步长,h=16,100,0.6865,0.6656
uniform_motion_s3072_af_fr_gate_t3,步长,h=28,100,0.3143,1.5917
uniform_motion_s3072_af_fr_hgate_s12,分区,ID,406,0.9314,0.1459
uniform_motion_s3072_af_fr_hgate_s12,分区,r/m-OOD,464,0.8127,0.4483
uniform_motion_s3072_af_fr_hgate_s12,分区,v-OOD,841,0.5629,0.8073
uniform_motion_s3072_af_fr_hgate_s12,分区,both-OOD,1189,0.6406,0.7664
uniform_motion_s3072_af_fr_hgate_s12,步长,h=1,100,0.9928,0.0144
uniform_motion_s3072_af_fr_hgate_s12,步长,h=2,100,0.9893,0.0236
uniform_motion_s3072_af_fr_hgate_s12,步长,h=4,100,0.9774,0.0497
uniform_motion_s3072_af_fr_hgate_s12,步长,h=8,100,0.9421,0.132
uniform_motion_s3072_af_fr_hgate_s12,步长,h=16,100,0.6886,0.6545
uniform_motion_s3072_af_fr_hgate_s12,步长,h=28,100,0.2918,1.8032
uniform_motion_s3072_af_fr_shadow075_e5,分区,ID,406,0.8095,0.392
uniform_motion_s3072_af_fr_shadow075_e5,分区,r/m-OOD,464,0.7358,0.6249
uniform_motion_s3072_af_fr_shadow075_e5,分区,v-OOD,841,0.5534,0.8333
uniform_motion_s3072_af_fr_shadow075_e5,分区,both-OOD,1189,0.5774,0.8759
uniform_motion_s3072_af_fr_shadow075_e5,步长,h=1,100,0.9907,0.0197
